molecule_chembl_id,kinase,IC50,units,canonical_smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
CHEMBL3698657,CDK6,0.41,nM,c1ccc2c(c1)c1cnc(Nc3ccc(N4CCNCC4)cc3)nc1n2C1CCCCC1,9.387216143280265,426.25319496000003,5,2,5.242900000000004,True
CHEMBL3698639,CDK4,0.45,nM,c1cc2c3cnc(Nc4ccc(N5CCNCC5)cc4)nc3n(C3CCCC3)c2cn1,9.346787486224656,413.2327938640001,6,2,4.2478000000000025,True
CHEMBL4777844,CDK9,0.495,nM,CN(C)C/C=C/C(=O)N1CCC(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)CC1,9.30539480106643,491.202481916,8,1,4.015800000000003,True
CHEMBL5758578,CDK4,0.5,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(C(=O)N5CCC(O)CC5)c(F)c4)ncc3F)cc21,9.30102999566398,527.214424416,7,2,4.508600000000004,True
CHEMBL5865305,CDK4,0.5,nM,CC(=O)N1CCN(c2ccc(Nc3ncc(F)c(-c4cc(F)c5c(c4)N(C(C)C)CCO5)n3)nc2)CC1,9.30102999566398,509.2350796080001,8,1,3.8361000000000027,True
CHEMBL5882717,CDK4,0.5,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(C5CCN(C(=O)CN(C)C)CC5)cn4)ncc3F)cc21,9.30102999566398,551.2820298,8,1,4.435200000000004,True
CHEMBL476577,CDK2,0.5,nM,CC(=O)NC1CN(c2ccc(Nc3ncc(F)c(-c4cnc(C)n4C(C)C)n3)cc2)C1,9.30102999566398,423.2182866720001,6,2,3.4368200000000018,True
CHEMBL1964259,CDK2,0.54,nM,O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)NCCOCCO)cc1,9.267606240177033,460.0875117399999,8,4,1.9886000000000004,True
CHEMBL4209329,CDK4,0.6,nM,CC1(C)CCc2nc3c(F)cc(-c4nc(Nc5ccc(CN6CCNCC6)cn5)ncc4F)cc3n21,9.221848749616356,490.24049933600014,7,2,3.9966000000000026,True
CHEMBL4211828,CDK4,0.6,nM,CC(C)N1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)CC6)n3)nc2)CC1,9.221848749616356,518.2717994640001,7,1,4.943300000000004,True
CHEMBL5892046,CDK6,0.6,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCN(C(=O)CN(C)C)CC5)cn4)ncc3F)cc21,9.221848749616356,552.2772787680001,9,1,3.3778000000000024,True
CHEMBL5811976,CDK4,0.7,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H]4CNCCO4)C5)ncc3F)cc2n1C(C)(C)C,9.154901959985745,548.2823641480002,8,2,4.320020000000003,True
CHEMBL248713,CDK1,0.7,nM,CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(F)ccc5[nH]4)c3c2)c1,9.154901959985745,387.160771796,5,3,3.8118000000000016,True
CHEMBL5853767,CDK4,0.7,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H]4CNCCO4)C5)ncc3F)cc2n1C(C)C,9.154901959985745,534.2667140840001,8,2,4.145920000000003,True
CHEMBL5762122,CDK4,0.7,nM,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5c(c4)N(C(C)C)CCO5)n3)nc2)CC1,9.154901959985745,509.27146511600006,8,1,4.305100000000004,True
CHEMBL5817708,CDK4,0.73,nM,CC1(C)CCc2nc3c(F)cc(-c4nc(Nc5ccc(CN6CCN(C(=O)CO)CC6)cn5)ncc4F)cc3n21,9.136677139879543,548.2459786400001,8,2,3.2279000000000018,True
CHEMBL3698681,CDK6,0.75,nM,c1ccc2c(c1)c1cnc(Nc3ccc(N4CCNCC4)cc3)nc1n2C1CCOCC1,9.1249387366083,428.232459516,6,2,4.089200000000003,True
CHEMBL4088242,CDK2,0.8,nM,CC[C@@H](C)Oc1nc(Nc2ccc(S(N)(=O)=O)cc2)nc(N)c1C=O,9.096910013008056,365.1157750880001,8,3,1.4396000000000002,True
CHEMBL4215702,CDK4,0.8,nM,CN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)CC1,9.096910013008056,504.2561494000001,7,1,4.3388000000000035,True
CHEMBL6008170,CDK4,0.8,nM,CS(=O)(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,9.096910013008056,441.1946941040001,8,2,2.4981,True
CHEMBL429478,CDK1,0.8,nM,CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(OC)ccc5[nH]4)c3c2)c1,9.096910013008056,399.180758292,6,3,3.681300000000002,True
CHEMBL561334,CDK1,0.8,nM,C[C@@H]1CNc2c(sc3ccc4ncccc4c23)C(=O)N1,9.096910013008056,283.07793303600005,4,2,2.9933000000000005,True
CHEMBL3698671,CDK4,0.83,nM,c1cnc2c(c1)c1cnc(Nc3ccc(N4CCNCC4)cc3)nc1n2C1CCCC1,9.080921907623926,413.23279386400003,6,2,4.2478000000000025,True
CHEMBL5964401,CDK4,0.86,nM,CCC(CC)n1c(C)nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc21,9.065501548756432,463.2296003040001,6,2,5.225320000000004,True
CHEMBL5841163,CDK6,0.88,nM,CCN1CCN(c2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)CC1,9.05551732784983,504.2561494000001,7,1,4.733300000000003,True
CHEMBL194721,CDK1,0.9,nM,FC(F)(F)c1cnc(Nc2ccc3[nH]cnc3c2)nc1Nc1ccccc1Cl,9.045757490560677,404.07640672400004,5,3,5.5123000000000015,True
CHEMBL6023260,CDK6,0.9,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCN(C(=O)CN(C)C)CC5)c(F)c4)ncc3F)cc21,9.045757490560677,569.2726079880001,8,1,4.121900000000004,True
CHEMBL4208172,CDK6,0.9,nM,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)CC1,9.045757490560677,518.2717994640001,7,1,4.728900000000003,True
CHEMBL3698641,CDK4,0.91,nM,Cc1cc(Nc2ncc3c4ccncc4n(C4CCCC4)c3n2)cnc1N1CCNCC1,9.040958607678906,428.2436928960001,7,2,3.951220000000002,True
CHEMBL4542247,CDK4,0.91,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C1(C)CC1,9.040958607678906,518.2717994640001,7,1,4.647220000000004,True
CHEMBL5886747,CDK4,0.92,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C1(C)CC1,9.036212172654444,447.1983001760001,6,2,4.3732200000000025,True
CHEMBL5947385,CDK9,0.92,nM,C=CC(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,9.036212172654444,489.2088648600001,6,1,4.870120000000004,True
CHEMBL5925248,CDK4,0.94,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@H](C)N(C)C)C5)ncc3F)cc2n1C1CC1,9.0268721464003,518.2717994640001,7,1,4.861620000000004,True
CHEMBL3698659,CDK4,0.94,nM,c1cc2c3cnc(Nc4ccc(N5CCNCC5)cn4)nc3n(C3CC4CCC3C4)c2cn1,9.0268721464003,440.243692896,7,2,3.8888000000000025,True
CHEMBL5869281,CDK4,0.96,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@H]4CN(C)CCO4)C5)ncc3F)cc2n1C(C)(C)C,9.017728766960431,562.2980142120001,8,1,4.662220000000004,True
CHEMBL3698688,CDK4,0.97,nM,CN(C)C1CCN(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)cn2)CC1,9.013228265733757,456.274993024,7,1,4.763600000000004,True
CHEMBL5830076,CDK4,0.99,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CCN(C)C)C5)ncc3F)cc2n1C(C)(C)C,9.00436480540245,548.2823641480002,7,1,4.809920000000004,True
CHEMBL4463172,CDK4,0.99,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C(=N)N)C5)ncc3F)cc2n1C(C)C,9.00436480540245,534.2779474640001,7,3,3.9827900000000014,True
CHEMBL6059314,CDK6,1.0,nM,CC(C)N1CCc2ccc(Nc3ncc(F)c(-c4cc(F)c5c(c4)N(C(C)C)CCO5)n3)cc2C1,9.0,479.24966705200006,6,1,5.539100000000006,True
CHEMBL2103840,CDK2,1.0,nM,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,9.0,396.227374136,6,2,2.2785000000000006,True
CHEMBL478409,CDK2,1.0,nM,COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc(C)n3C(C)C)n2)cc1,9.0,430.1787096920001,7,2,2.8977200000000005,True
CHEMBL215803,CDK1,1.0,nM,C[C@@H]1C[C@H]2CN1CCn1nc3c(cccc3c1O)-c1nc3c(cccc3nc1O)O2,9.0,403.164439532,7,2,2.912900000000001,True
CHEMBL3642037,CDK4,1.0,nM,CN(C)[C@@H]1CN(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nn2)CC[C@H]1O,9.0,473.26515661200006,9,2,3.1294000000000017,True
CHEMBL5825661,CDK4,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCNCC5=O)cn4)ncc3F)cc21,9.0,481.2037794800001,8,2,3.1038000000000014,True
CHEMBL5996434,CDK6,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc5c(c4)CNCC5)ncc3F)cc21,9.0,437.20271686000007,6,2,4.418300000000003,True
CHEMBL4462530,CDK2,1.0,nM,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn4c3CC(C)(C)C4)c(Cl)cn2)C1,9.0,429.193152816,4,2,3.8142000000000023,True
CHEMBL4205645,CDK4,1.0,nM,CCN1CCN(Cc2ccc(Nc3nccc(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)CC1,9.0,500.2812212760001,7,1,4.589800000000003,True
CHEMBL3904602,CDK4,1.0,nM,CC(C)N1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,9.0,474.285557708,7,2,3.5031000000000017,True
CHEMBL3545083,CDK9,1.0,nM,COCCN1CCN(Cc2ccc(-c3n[nH]c4c3C(=O)c3c(NC(=O)NN5CCOCC5)cccc3-4)cc2)CC1,9.0,545.2750526,8,3,2.4208000000000007,True
CHEMBL3702053,CDK4,1.0,nM,CCN(CC)C1CCN(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nn2)CC1,9.0,485.30154212000014,8,1,4.938800000000004,True
CHEMBL5999532,CDK4,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(C5CCN(C)C5)cn4)ncc3F)cc21,9.0,466.22926595600006,7,1,4.586700000000004,True
CHEMBL5742108,CDK4,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc21,9.0,438.19796582800006,7,2,3.8133000000000017,True
CHEMBL5171657,CDK2,1.0,nM,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(C3CCCC[C@H]3CCO)nc12,9.0,395.23212516800004,5,2,3.193400000000002,True
CHEMBL5892046,CDK4,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCN(C(=O)CN(C)C)CC5)cn4)ncc3F)cc21,9.0,552.2772787680001,9,1,3.3778000000000024,True
