molecule_chembl_id,kinase,IC50,units,canonical_smiles,pIC50
CHEMBL3698657,CDK6,0.41,nM,c1ccc2c(c1)c1cnc(Nc3ccc(N4CCNCC4)cc3)nc1n2C1CCCCC1,9.387216143280265
CHEMBL3698639,CDK4,0.45,nM,c1cc2c3cnc(Nc4ccc(N5CCNCC5)cc4)nc3n(C3CCCC3)c2cn1,9.346787486224656
CHEMBL4777844,CDK9,0.495,nM,CN(C)C/C=C/C(=O)N1CCC(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)CC1,9.30539480106643
CHEMBL5758578,CDK4,0.5,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(C(=O)N5CCC(O)CC5)c(F)c4)ncc3F)cc21,9.301029995663981
CHEMBL5865305,CDK4,0.5,nM,CC(=O)N1CCN(c2ccc(Nc3ncc(F)c(-c4cc(F)c5c(c4)N(C(C)C)CCO5)n3)nc2)CC1,9.301029995663981
CHEMBL5882717,CDK4,0.5,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(C5CCN(C(=O)CN(C)C)CC5)cn4)ncc3F)cc21,9.301029995663981
CHEMBL476577,CDK2,0.5,nM,CC(=O)NC1CN(c2ccc(Nc3ncc(F)c(-c4cnc(C)n4C(C)C)n3)cc2)C1,9.301029995663981
CHEMBL1964259,CDK2,0.54,nM,O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)NCCOCCO)cc1,9.267606240177031
CHEMBL4209329,CDK4,0.6,nM,CC1(C)CCc2nc3c(F)cc(-c4nc(Nc5ccc(CN6CCNCC6)cn5)ncc4F)cc3n21,9.221848749616356
CHEMBL4211828,CDK4,0.6,nM,CC(C)N1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)CC6)n3)nc2)CC1,9.221848749616356
CHEMBL5892046,CDK6,0.6,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCN(C(=O)CN(C)C)CC5)cn4)ncc3F)cc21,9.221848749616356
CHEMBL5811976,CDK4,0.7,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H]4CNCCO4)C5)ncc3F)cc2n1C(C)(C)C,9.154901959985743
CHEMBL248713,CDK1,0.7,nM,CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(F)ccc5[nH]4)c3c2)c1,9.154901959985743
CHEMBL5853767,CDK4,0.7,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H]4CNCCO4)C5)ncc3F)cc2n1C(C)C,9.154901959985743
CHEMBL5762122,CDK4,0.7,nM,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5c(c4)N(C(C)C)CCO5)n3)nc2)CC1,9.154901959985743
CHEMBL5817708,CDK4,0.73,nM,CC1(C)CCc2nc3c(F)cc(-c4nc(Nc5ccc(CN6CCN(C(=O)CO)CC6)cn5)ncc4F)cc3n21,9.136677139879545
CHEMBL3698681,CDK6,0.75,nM,c1ccc2c(c1)c1cnc(Nc3ccc(N4CCNCC4)cc3)nc1n2C1CCOCC1,9.1249387366083
CHEMBL4088242,CDK2,0.8,nM,CC[C@@H](C)Oc1nc(Nc2ccc(S(N)(=O)=O)cc2)nc(N)c1C=O,9.096910013008056
CHEMBL4215702,CDK4,0.8,nM,CN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)CC1,9.096910013008056
CHEMBL6008170,CDK4,0.8,nM,CS(=O)(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,9.096910013008056
CHEMBL429478,CDK1,0.8,nM,CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(OC)ccc5[nH]4)c3c2)c1,9.096910013008056
CHEMBL561334,CDK1,0.8,nM,C[C@@H]1CNc2c(sc3ccc4ncccc4c23)C(=O)N1,9.096910013008056
CHEMBL3698671,CDK4,0.83,nM,c1cnc2c(c1)c1cnc(Nc3ccc(N4CCNCC4)cc3)nc1n2C1CCCC1,9.080921907623926
CHEMBL5964401,CDK4,0.86,nM,CCC(CC)n1c(C)nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc21,9.065501548756432
CHEMBL5841163,CDK6,0.88,nM,CCN1CCN(c2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)CC1,9.05551732784983
CHEMBL194721,CDK1,0.9,nM,FC(F)(F)c1cnc(Nc2ccc3[nH]cnc3c2)nc1Nc1ccccc1Cl,9.045757490560675
CHEMBL6023260,CDK6,0.9,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCN(C(=O)CN(C)C)CC5)c(F)c4)ncc3F)cc21,9.045757490560675
CHEMBL4208172,CDK6,0.9,nM,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)CC1,9.045757490560675
CHEMBL3698641,CDK4,0.91,nM,Cc1cc(Nc2ncc3c4ccncc4n(C4CCCC4)c3n2)cnc1N1CCNCC1,9.040958607678906
CHEMBL4542247,CDK4,0.91,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C1(C)CC1,9.040958607678906
CHEMBL5994564,CDK4,0.91,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H]4CCCN4C)C5)ncc3F)cc2n1C1CC1,9.040958607678906
CHEMBL5886747,CDK4,0.92,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C1(C)CC1,9.036212172654444
CHEMBL5947385,CDK9,0.92,nM,C=CC(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,9.036212172654444
CHEMBL5925248,CDK4,0.94,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@H](C)N(C)C)C5)ncc3F)cc2n1C1CC1,9.0268721464003
CHEMBL3698659,CDK4,0.94,nM,c1cc2c3cnc(Nc4ccc(N5CCNCC5)cn4)nc3n(C3CC4CCC3C4)c2cn1,9.0268721464003
CHEMBL4550287,CDK4,0.96,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C(C)C1CC1,9.017728766960431
CHEMBL5869281,CDK4,0.96,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@H]4CN(C)CCO4)C5)ncc3F)cc2n1C(C)(C)C,9.017728766960431
CHEMBL3698688,CDK4,0.97,nM,CN(C)C1CCN(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)cn2)CC1,9.013228265733755
CHEMBL6013826,CDK6,0.97,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)[C@H]5C)ncc3F)cc2n1C(C)(C)C,9.013228265733755
CHEMBL5830076,CDK4,0.99,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CCN(C)C)C5)ncc3F)cc2n1C(C)(C)C,9.00436480540245
CHEMBL4463172,CDK4,0.99,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C(=N)N)C5)ncc3F)cc2n1C(C)C,9.00436480540245
CHEMBL6059314,CDK6,1.0,nM,CC(C)N1CCc2ccc(Nc3ncc(F)c(-c4cc(F)c5c(c4)N(C(C)C)CCO5)n3)cc2C1,9.0
CHEMBL6034655,CDK4,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCC(N6CCCC6)CC5)c(F)c4)ncc3F)cc21,9.0
CHEMBL2103840,CDK2,1.0,nM,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,9.0
CHEMBL478409,CDK2,1.0,nM,COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc(C)n3C(C)C)n2)cc1,9.0
CHEMBL215803,CDK1,1.0,nM,C[C@@H]1C[C@H]2CN1CCn1nc3c(cccc3c1O)-c1nc3c(cccc3nc1O)O2,9.0
CHEMBL3642037,CDK4,1.0,nM,CN(C)[C@@H]1CN(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nn2)CC[C@H]1O,9.0
CHEMBL5825661,CDK4,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCNCC5=O)cn4)ncc3F)cc21,9.0
CHEMBL5996434,CDK6,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc5c(c4)CNCC5)ncc3F)cc21,9.0
CHEMBL4462530,CDK2,1.0,nM,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn4c3CC(C)(C)C4)c(Cl)cn2)C1,9.0
CHEMBL4205645,CDK4,1.0,nM,CCN1CCN(Cc2ccc(Nc3nccc(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)CC1,9.0
CHEMBL3904602,CDK4,1.0,nM,CC(C)N1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,9.0
CHEMBL3545083,CDK9,1.0,nM,COCCN1CCN(Cc2ccc(-c3n[nH]c4c3C(=O)c3c(NC(=O)NN5CCOCC5)cccc3-4)cc2)CC1,9.0
CHEMBL3702053,CDK4,1.0,nM,CCN(CC)C1CCN(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nn2)CC1,9.0
CHEMBL5999532,CDK4,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(C5CCN(C)C5)cn4)ncc3F)cc21,9.0
CHEMBL5742108,CDK4,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc21,9.0
CHEMBL5171657,CDK2,1.0,nM,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(C3CCCC[C@H]3CCO)nc12,9.0
CHEMBL5892046,CDK4,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCN(C(=O)CN(C)C)CC5)cn4)ncc3F)cc21,9.0
CHEMBL4292930,CDK2,1.0,nM,Cc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@@H]3CCO)nc12,9.0
CHEMBL3702060,CDK4,1.0,nM,CN(C)C1CCN(c2ccc(Nc3ncc4c5ccnc(Cl)c5n(C5CCCC5)c4n3)nc2)CC1,9.0
CHEMBL3698657,CDK4,1.0,nM,c1ccc2c(c1)c1cnc(Nc3ccc(N4CCNCC4)cc3)nc1n2C1CCCCC1,9.0
CHEMBL6015264,CDK4,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(CN5CCN(CC6CC6)CC5)cn4)ncc3F)cc21,9.0
CHEMBL5945809,CDK4,1.0,nM,COc1cc(Nc2ncc(F)c(-c3cc(F)c4c(c3)N(C(C)C)CCO4)n2)ccc1N1CCNCC1,9.0
CHEMBL3698649,CDK4,1.0,nM,CN(C)C1CCN(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nn2)CC1,9.0
CHEMBL1964249,CDK2,1.0,nM,COCCOCCOCCOCCN(C)S(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccc4ncsc4c32)cc1,9.0
CHEMBL509406,CDK2,1.0,nM,Cc1ncc(-c2nc(Nc3ccc(C(=O)NC4CCN(C)CC4)c(F)c3)ncc2F)n1C(C)C,9.0
CHEMBL1171950,CDK2,1.0,nM,NCCCn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3)ncc1CC2,9.0
CHEMBL6048798,CDK4,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCNCC5)c(F)c4F)ncc3F)cc21,9.0
CHEMBL3702122,CDK4,1.0,nM,O=C(O)CN1CCN(Cc2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nc2)CC1,9.0
CHEMBL559513,CDK2,1.0,nM,CN1CCN(c2cccc(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)c2)CC1,9.0
CHEMBL5996434,CDK4,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc5c(c4)CNCC5)ncc3F)cc21,9.0
CHEMBL3691546,CDK4,1.0,nM,CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CC4CN5)cn3)nc2n1C1CCCCCC1,9.0
CHEMBL557318,CDK1,1.0,nM,C[C@@H]1CNc2c(sc3ccc4occc4c23)C(=O)N1,9.0
CHEMBL6059314,CDK4,1.0,nM,CC(C)N1CCc2ccc(Nc3ncc(F)c(-c4cc(F)c5c(c4)N(C(C)C)CCO5)n3)cc2C1,9.0
CHEMBL5095102,CDK6,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(C5CCN(C)CC5)cn4)ncc3F)cc21,9.0
CHEMBL5939007,CDK4,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCNCC5)c(F)c4)ncc3Cl)cc21,9.0
CHEMBL5266005,CDK2,1.0,nM,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@@H]3CCO)nc12,9.0
CHEMBL6013826,CDK4,1.02,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)[C@H]5C)ncc3F)cc2n1C(C)(C)C,8.991399828238082
CHEMBL5941236,CDK6,1.02,nM,CC1(C)CCc2nc3c(F)cc(-c4nc(Nc5ccc(OCC6CCN(CCCO)CC6)cn5)ncc4F)cc3n21,8.991399828238082
CHEMBL4438059,CDK4,1.02,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C1CCCCC1,8.991399828238082
CHEMBL5897984,CDK4,1.02,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@H]4CNCCO4)C5)ncc3F)cc2n1C(C)C,8.991399828238082
CHEMBL5964675,CDK4,1.02,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@H]4CNCCO4)C5)ncc3F)cc2n1C(C)(C)C,8.991399828238082
